DATA_TYPE Graph
VERSION Tekscan Pressure Measurement System 7.50-09
HARDWARE 102-D849
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSOR_TYPE 3150
ROWS 44
COLS 52
ROW_SPACING 0.8382 centimeters
COL_SPACING 0.8382 centimeters
SENSEL_AREA 0.702579 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 1/4/2020 11:19:59.478PM
SATURATION_PRESSURE 81.206 PSI 
CALIBRATION_POINT_1 77.1107 (Kilograms) 4902 (Raw Sum) 193 (Number of Loaded Cells)
CALIBRATION_MODE_1 Step
CALIBRATION_INFO C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSITIVITY Custom (125/250@1x)
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 480
UNITS Kilograms
ASCII_DATA @@
Frames(X), Time(X), Absolute Time(X), Raw Sum, Force(Y:green)
1, 0, 1/4/2020 11:19:59.478PM, 2736.0, 30.85
2, 0.017, 1/4/2020 11:19:59.495PM, 2759.0, 31.14
3, 0.033, 1/4/2020 11:19:59.511PM, 2746.0, 30.97
4, 0.05, 1/4/2020 11:19:59.528PM, 2693.0, 30.30
5, 0.067, 1/4/2020 11:19:59.545PM, 2676.0, 30.10
6, 0.083, 1/4/2020 11:19:59.561PM, 2631.0, 29.58
7, 0.1, 1/4/2020 11:19:59.578PM, 2576.0, 28.96
8, 0.117, 1/4/2020 11:19:59.595PM, 2539.0, 28.54
9, 0.133, 1/4/2020 11:19:59.611PM, 2526.0, 28.49
10, 0.15, 1/4/2020 11:19:59.628PM, 2560.0, 28.93
11, 0.167, 1/4/2020 11:19:59.645PM, 2615.0, 29.58
12, 0.183, 1/4/2020 11:19:59.661PM, 2669.0, 30.16
13, 0.2, 1/4/2020 11:19:59.678PM, 2733.0, 30.91
14, 0.217, 1/4/2020 11:19:59.695PM, 2779.0, 31.45
15, 0.233, 1/4/2020 11:19:59.711PM, 2826.0, 31.98
16, 0.25, 1/4/2020 11:19:59.728PM, 2918.0, 33.05
17, 0.267, 1/4/2020 11:19:59.745PM, 3011.0, 34.13
18, 0.283, 1/4/2020 11:19:59.761PM, 3115.0, 35.37
19, 0.3, 1/4/2020 11:19:59.778PM, 3137.0, 35.62
20, 0.316, 1/4/2020 11:19:59.795PM, 3126.0, 35.51
21, 0.333, 1/4/2020 11:19:59.811PM, 3063.0, 34.81
22, 0.35, 1/4/2020 11:19:59.828PM, 3038.0, 34.54
23, 0.366, 1/4/2020 11:19:59.845PM, 3088.0, 35.14
24, 0.383, 1/4/2020 11:19:59.861PM, 3211.0, 36.57
25, 0.4, 1/4/2020 11:19:59.878PM, 3314.0, 37.80
26, 0.416, 1/4/2020 11:19:59.895PM, 3380.0, 38.54
27, 0.433, 1/4/2020 11:19:59.911PM, 3402.0, 38.78
28, 0.45, 1/4/2020 11:19:59.928PM, 3394.0, 38.66
29, 0.466, 1/4/2020 11:19:59.945PM, 3490.0, 39.76
30, 0.483, 1/4/2020 11:19:59.961PM, 3606.0, 41.23
31, 0.5, 1/4/2020 11:19:59.978PM, 3720.0, 42.51
32, 0.516, 1/4/2020 11:19:59.995PM, 3831.0, 43.78
33, 0.533, 1/4/2020 11:20:00.011PM, 3917.0, 44.75
34, 0.55, 1/4/2020 11:20:00.028PM, 3976.0, 45.38
