ankleAngleX, ankleAngleY, ankleAngleZ, lowLegAngleMag,lowLegAngleX, lowLegAngleY, lowLegAngleZ, lowLegAngleVeloMag, lowLegAngleVeloX, lowLegAngleVeloY, lowLegAngleVeloZ, lowLegAngleAccelX, lowLegAngleAccelY, lowLegAngleAccelZ, footAngleMag, footAngleX, footAngleY, footAngleZ, footAngleVeloMag, footAngleVeloX, footAngleVeloY,  footAngleVeloZ, footAngleAccelMag, footAngleAccelX, footAngleAccelY, footAngleAccelZ, footPosMag, footPosX, footPosY, footPosZ,footSpeedMag, footSpeedX, footSpeedY, footSpeedZ, footAccelMag, footAccelX, footAccelY, footAccelZ, lowLegPosMag, lowLegPosX, lowLegPosY, lowLegPosZ, lowLegSpeedMag, lowLegSpeedX, lowLegSpeedY, lowLegSpeedZ, lowLegAccelMag, lowLegAccelX, lowLegAccelY, lowLegAccelZ, medGastro, tibAnterior,
9.8172245,0.23370288,-4.105768,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9250326,0.8409914,
10.977133,0.31829226,-3.7360299,25.555426,24.483158,-4.005192,6.132959,0.8172661,0.76958954,0.06896697,0.2662694,30.78358,1.2818855,-2.8991845,11.599856,-10.977133,-0.3182924,3.7360299,0.08003002,-0.011157544,0.032047138,-0.07247961,0.44630176,-0.44630176,0.0,0.0,0.91896385,-0.16400233,-0.8957551,0.12337182,0.24103524,0.006953478,0.1851201,0.15420824,3.4756167,0.31518936,2.831459,1.9908309,0.8709576,-0.15481219,-0.8568854,0.018649466,0.2391457,0.006415844,0.18328428,0.15348084,3.4217057,0.31647682,2.7787209,1.971452,4.9250326,0.8409914,
12.216561,0.24153015,-3.3264127,28.946548,27.583399,-4.866755,7.3057137,0.8731126,0.8232956,-0.043287322,0.28746524,2.148242,0.124550164,-0.03888607,12.663638,-12.216561,-0.24152996,3.326413,0.082235254,-0.0114536965,0.03516089,-0.073451765,0.011846088,-0.011846088,0.0,0.0,0.91396934,-0.16510203,-0.88979304,0.12786528,0.30185276,-0.043988228,0.23848295,0.1797387,3.1226797,-2.0376682,2.1345139,1.0212183,0.86544776,-0.15593262,-0.8509701,0.023123752,0.3000405,-0.04481733,0.23661137,0.17897144,3.1288047,-2.049327,2.1330833,1.0196239,5.84696,0.86326927,
13.44391,0.010040967,-2.9457576,32.3946,30.742142,-5.507972,8.601927,0.9033952,0.8395958,-0.16237906,0.29126412,0.65200806,-0.53118974,1.436347,13.762859,-13.44391,-0.010040999,2.9457576,0.044570316,0.009911855,0.021881148,-0.03754309,0.85462207,0.85462207,0.0,0.0,0.90839493,-0.16692854,-0.8831233,0.13194475,0.3211575,-0.07306039,0.2667904,0.16317844,1.7530516,-1.1628866,1.1322975,-0.66241026,0.85933024,-0.15777998,-0.8442829,0.027207818,0.32201982,-0.07389426,0.26748657,0.16336262,1.8077086,-1.1630774,1.2350082,-0.6243527,7.3560095,0.8409914,
14.656624,-0.22181891,-2.5855925,35.854374,33.995983,-5.7746897,9.821517,0.9244093,0.85335225,-0.18116009,0.3057835,0.55025816,-0.79262656,1.2217,14.884593,-14.656624,0.22181877,2.5855927,0.033120718,0.032306463,0.0020654825,-0.0070005897,0.8957843,0.8957843,0.0,0.0,0.90218383,-0.16830897,-0.8758397,0.1360609,0.3391722,-0.055217147,0.29134274,0.16464591,1.2154686,0.71372986,0.9820938,0.058698654,0.85249275,-0.15915902,-0.83691645,0.03135489,0.3426134,-0.055161715,0.29465914,0.16588286,1.3239989,0.7493019,1.0869026,0.100809336,8.559367,0.8688388,
15.865641,-0.3929807,-2.237213,39.402027,37.42969,-5.7310762,10.894619,0.9329981,0.86482036,-0.15830755,0.31226578,0.4587245,-0.79628944,0.42089096,16.027418,-15.865641,0.3929809,2.237213,0.0496636,0.046214096,-0.017841753,0.0035216846,0.55630535,0.55630535,0.0,0.0,0.8950331,-0.16902545,-0.8675562,0.14092897,0.38538873,-0.028659105,0.33133984,0.19472301,2.266179,1.0623217,1.599884,1.203084,0.8445665,-0.15983222,-0.8285111,0.036272097,0.39044935,-0.026928186,0.3362131,0.19668832,2.3572328,1.1293411,1.662159,1.2322187,8.229414,0.9468115,
17.037413,-0.49350497,-1.9622734,43.017307,40.991238,-5.4661555,11.8460245,0.92179435,0.866321,-0.12685129,0.2882733,0.060026646,-0.9403367,0.9068814,17.157143,-17.037413,0.49350518,1.9622734,0.08521785,0.069757685,-0.04135017,0.02619372,0.94174355,0.94174355,0.0,0.0,0.8870104,-0.1698112,-0.8582126,0.1463651,0.4335386,-0.031430125,0.37374496,0.2174455,1.9275621,-0.1108408,1.6962051,0.9088993,0.83561015,-0.16053545,-0.818979,0.041786026,0.44137743,-0.02812922,0.38128376,0.22055715,2.0405986,-0.048041344,1.8028259,0.95475316,6.798001,1.0192147,
18.134321,-0.40081632,-1.7970172,46.60895,44.507664,-5.151728,12.84219,0.89456016,0.8501714,-0.008655357,0.27815747,-0.6459856,-0.9776306,2.0303667,18.227549,-18.134321,0.40081596,1.7970172,0.14360827,0.10184863,-0.06579094,0.07695289,1.2836379,1.2836379,0.0,0.0,0.87847143,-0.17093813,-0.84822273,0.15169165,0.4550855,-0.045077205,0.3995943,0.21306157,1.1823028,-0.5458832,1.0339737,-0.17535686,0.8260376,-0.16156623,-0.8087051,0.047228176,0.4668759,-0.041230917,0.41095734,0.217686,1.3025631,-0.5240679,1.186943,-0.11484623,5.497598,1.0414926,
19.118332,-0.061076358,-1.6642464,50.04561,47.829918,-4.7215047,13.948802,0.8724857,0.8058808,0.16068229,0.29320404,-1.7716241,-0.067026615,0.7327199,19.19073,-19.118332,0.06107629,1.6642466,0.1819152,0.1395165,-0.0674666,0.09527089,1.5067148,1.5067148,0.0,0.0,0.8697328,-0.17230794,-0.83800566,0.15649815,0.45495912,-0.054792166,0.40868282,0.19226015,0.9876687,-0.38859844,0.36354065,-0.832057,0.8162177,-0.16285455,-0.79810154,0.052189052,0.47109285,-0.051532984,0.42414188,0.19843504,1.0202465,-0.41208267,0.5273819,-0.77003837,4.7309427,1.0359231,
19.97954,0.49389476,-1.4639393,53.300377,50.942562,-4.112376,15.128579,0.86613643,0.74194694,0.3132816,0.31868738,-2.557354,0.6496939,-1.4821923,20.039188,-19.97954,-0.49389496,1.4639393,0.18806039,0.17132914,-0.051224254,0.05821608,1.2725055,1.2725055,0.0,0.0,0.8609727,-0.17362007,-0.8277528,0.16110656,0.45268923,-0.052485466,0.41011333,0.1843363,0.33503312,0.09226799,0.05722046,-0.31695366,0.806321,-0.16409165,-0.7873885,0.056981523,0.4720465,-0.049483776,0.42852163,0.19169882,0.33168203,0.08196831,0.17518997,-0.26944876,4.3621716,1.0414926,
